run	marker	biosample	replicate	sortedfasta
run1	mfzr	tpos1_run1	1	mfzr_tpos1_1_fw_000.fasta
run1	mfzr	tnegtag_run1	1	mfzr_tnegtag_1_fw_001.fasta
run1	mfzr	14ben01	1	mfzr_14ben01_1_fw_002.fasta
run1	mfzr	14ben02	1	mfzr_14ben02_1_fw_003.fasta
run1	mfzr	tpos1_run1	2	mfzr_tpos1_2_fw_004.fasta
run1	mfzr	tnegtag_run1	2	mfzr_tnegtag_2_fw_005.fasta
run1	mfzr	14ben01	2	mfzr_14ben01_2_fw_006.fasta
run1	mfzr	14ben02	2	mfzr_14ben02_2_fw_007.fasta
run1	mfzr	tpos1_run1	3	mfzr_tpos1_3_fw_008.fasta
run1	mfzr	tnegtag_run1	3	mfzr_tnegtag_3_fw_009.fasta
run1	mfzr	14ben01	3	mfzr_14ben01_3_fw_010.fasta
run1	mfzr	14ben02	3	mfzr_14ben02_3_fw_011.fasta
